Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-1.5,-8335.0,522.0
70.0,-1.5,14612.0,522.0
70.0,-1.5,19065.0,522.0
70.0,-1.5,28794.0,522.0
70.0,-1.5,39331.0,522.0
70.0,-1.5,59566.0,522.0
70.0,-1.5,61813.0,522.0
70.0,-1.5,72222.0,523.0
70.0,-1.5,76111.0,522.0
70.0,-1.5,81738.0,522.0
70.0,-1.5,84791.0,522.0
70.0,-1.5,80836.0,522.0
70.0,-1.5,82721.0,522.0
70.0,-1.5,78342.0,522.0
70.0,-1.19,77427.0,522.0
70.0,-0.88,83810.0,522.0
70.0,-0.69,98967.0,522.0
70.0,-0.5,105624.0,522.0
70.0,-0.37,107609.0,522.0
70.0,-0.25,109478.0,522.0
70.0,-0.12,112859.0,522.0
70.0,-0.06,115788.0,522.0
70.0,0.0,105565.0,522.0
70.0,0.0,103696.0,522.0
70.0,0.06,106207.0,523.0
70.0,0.12,108846.0,522.0
70.0,0.12,114933.0,522.0
70.0,0.12,132944.0,522.0
70.0,0.12,146459.0,522.0
70.0,0.12,154236.0,522.0
70.0,0.12,156713.0,522.0
70.0,0.12,162372.0,523.0
70.0,0.12,161871.0,522.0
70.0,0.12,171322.0,522.0
70.0,0.12,173575.0,522.0
70.0,0.12,176326.0,522.0
70.0,0.12,177083.0,523.0
70.0,0.12,179104.0,522.0
70.0,0.12,180759.0,522.0
70.0,0.12,178520.0,522.0
70.0,0.12,178433.0,522.0
70.0,0.12,179698.0,522.0
70.0,0.12,182803.0,522.0
60.0,-13.63,-143090.0,479.0
60.0,-13.63,-145595.0,479.0
60.0,-13.63,-141004.0,479.0
60.0,-13.63,-136219.0,479.0
60.0,-13.63,-134788.0,479.0
60.0,-13.63,-122887.0,479.0
60.0,-13.63,-123444.0,479.0
60.0,-13.63,-120987.0,479.0
60.0,-13.63,-117168.0,479.0
60.0,-13.63,-115969.0,478.0
60.0,-13.63,-114602.0,478.0
60.0,-13.63,-110231.0,479.0
60.0,-13.63,-105100.0,479.0
60.0,-13.63,-103053.0,478.0
60.0,-13.63,-104478.0,479.0
60.0,-13.63,-101973.0,478.0
60.0,-13.63,-102608.0,479.0
60.0,-13.63,-104199.0,479.0
60.0,-13.63,-102274.0,479.0
60.0,-13.63,-100327.0,479.0
60.0,-13.63,-98046.0,479.0
60.0,-13.63,-100199.0,479.0
60.0,-13.63,-92748.0,479.0
60.0,-13.63,-90947.0,479.0
60.0,-13.63,-87234.0,479.0
60.0,-13.63,-82875.0,479.0
