Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
100.0,100.0,100.0,100.0
70.0,-2.0,4019.0,522.0
70.0,-1.94,11046.0,522.0
70.0,-1.94,16651.0,522.0
70.0,-1.88,21332.0,523.0
70.0,-1.88,25415.0,522.0
70.0,-1.88,28836.0,523.0
70.0,-1.88,33129.0,522.0
70.0,-1.88,30328.0,523.0
70.0,-1.88,38291.0,522.0
70.0,-1.88,47178.0,522.0
70.0,-1.88,47977.0,522.0
70.0,-1.88,50596.0,522.0
70.0,-1.88,48635.0,522.0
70.0,-1.88,52358.0,522.0
70.0,-1.88,51413.0,522.0
70.0,-1.88,48930.0,522.0
70.0,-1.88,49685.0,522.0
70.0,-1.88,53690.0,522.0
70.0,-1.88,62975.0,522.0
70.0,-1.88,63734.0,522.0
70.0,-1.88,67287.0,522.0
70.0,-1.88,69586.0,522.0
70.0,-1.88,68119.0,522.0
70.0,-1.88,65930.0,522.0
70.0,-1.88,63987.0,523.0
70.0,-1.88,68602.0,522.0
70.0,-1.88,67917.0,523.0
70.0,-1.88,65870.0,522.0
70.0,-1.88,67969.0,522.0
70.0,-1.88,70060.0,522.0
70.0,-1.88,73441.0,522.0
70.0,-1.88,77684.0,523.0
70.0,-1.88,72127.0,522.0
70.0,-1.88,66592.0,522.0
70.0,-1.88,69153.0,522.0
70.0,-1.88,75218.0,522.0
70.0,-1.88,73157.0,522.0
70.0,-1.88,73328.0,522.0
70.0,-1.88,71289.0,523.0
70.0,-1.88,70060.0,523.0
70.0,-1.88,72127.0,522.0
70.0,-1.88,76330.0,522.0
70.0,-1.88,75847.0,522.0
60.0,-15.69,-261760.0,478.0
60.0,-15.69,-258621.0,478.0
60.0,-15.63,-254536.0,477.0
60.0,-15.56,-254723.0,478.0
60.0,-15.56,-255344.0,478.0
60.0,-15.56,-253381.0,478.0
60.0,-15.56,-251862.0,478.0
60.0,-15.56,-250889.0,478.0
60.0,-15.56,-250766.0,478.0
60.0,-15.56,-246577.0,478.0
60.0,-15.56,-244204.0,478.0
60.0,-15.56,-243677.0,478.0
60.0,-15.56,-244818.0,478.0
60.0,-15.56,-241809.0,478.0
60.0,-15.56,-240310.0,478.0
60.0,-15.56,-241259.0,477.0
60.0,-15.56,-238656.0,478.0
60.0,-15.56,-235569.0,478.0
60.0,-15.56,-238360.0,478.0
60.0,-15.56,-238787.0,478.0
60.0,-15.56,-235358.0,478.0
60.0,-15.56,-237993.0,478.0
60.0,-15.56,-240042.0,478.0
60.0,-15.56,-238543.0,478.0
60.0,-15.56,-233154.0,478.0
60.0,-15.56,-234663.0,478.0
60.0,-15.56,-230940.0,478.0
60.0,-15.56,-230359.0,478.0
60.0,-15.56,-233520.0,478.0
60.0,-15.56,-233241.0,478.0
60.0,-15.56,-238442.0,478.0
60.0,-15.56,-232035.0,478.0
60.0,-15.56,-232956.0,478.0
60.0,-15.56,-228947.0,477.0
60.0,-15.56,-230152.0,478.0
60.0,-15.56,-236149.0,478.0
60.0,-15.56,-236100.0,478.0
60.0,-15.56,-231419.0,478.0
60.0,-15.56,-232804.0,478.0
60.0,-15.56,-232345.0,478.0
60.0,-15.56,-232344.0,478.0
60.0,-15.56,-229747.0,478.0
60.0,-15.56,-226676.0,478.0
60.0,-15.56,-236385.0,478.0
60.0,-15.56,-236926.0,477.0
60.0,-15.56,-235557.0,478.0
60.0,-15.56,-234720.0,478.0
60.0,-15.56,-233263.0,478.0
60.0,-15.56,-232160.0,478.0
60.0,-15.56,-233241.0,478.0
50.0,-28.81,-649162.0,434.0
50.0,-28.81,-645375.0,433.0
50.0,-28.81,-648302.0,433.0
50.0,-28.81,-649929.0,433.0
50.0,-28.81,-646274.0,433.0
50.0,-28.81,-647079.0,433.0
50.0,-28.81,-649056.0,434.0
50.0,-28.81,-647613.0,433.0
50.0,-28.81,-641992.0,433.0
50.0,-28.81,-637087.0,433.0
50.0,-28.81,-636890.0,433.0
50.0,-28.81,-635873.0,433.0
50.0,-28.81,-639518.0,433.0
50.0,-28.81,-639643.0,433.0
50.0,-28.81,-638470.0,433.0
50.0,-28.81,-632381.0,433.0
50.0,-28.81,-630160.0,433.0
50.0,-28.81,-634145.0,433.0
50.0,-28.81,-634318.0,433.0
50.0,-28.81,-629675.0,434.0
50.0,-28.81,-630024.0,433.0
50.0,-28.81,-630081.0,433.0
50.0,-28.81,-630262.0,434.0
50.0,-28.81,-627447.0,434.0
50.0,-28.81,-629096.0,434.0
50.0,-28.81,-627841.0,434.0
50.0,-28.81,-624764.0,433.0
50.0,-28.81,-623609.0,433.0
50.0,-28.81,-622620.0,433.0
50.0,-28.81,-624233.0,433.0
50.0,-28.81,-627480.0,433.0
50.0,-28.81,-629119.0,433.0
50.0,-28.81,-634102.0,434.0
50.0,-28.81,-636177.0,433.0
50.0,-28.81,-633586.0,433.0
50.0,-28.81,-630807.0,433.0
50.0,-28.81,-632240.0,433.0
50.0,-28.81,-632985.0,434.0
50.0,-28.81,-632744.0,433.0
50.0,-28.81,-630013.0,433.0
50.0,-28.81,-626674.0,434.0
50.0,-28.81,-628595.0,434.0
50.0,-28.81,-627550.0,433.0
50.0,-28.81,-628797.0,433.0
50.0,-28.81,-630350.0,433.0
50.0,-28.81,-620115.0,433.0
50.0,-28.81,-620720.0,433.0
50.0,-28.81,-617979.0,434.0
50.0,-28.81,-619338.0,433.0
50.0,-28.81,-618163.0,434.0
40.0,-43.69,-1141904.0,386.0
40.0,-43.69,-1142475.0,386.0
40.0,-43.69,-1144772.0,385.0
40.0,-43.69,-1148999.0,385.0
40.0,-43.69,-1150018.0,386.0
40.0,-43.69,-1145761.0,386.0
40.0,-43.69,-1148114.0,385.0
40.0,-43.69,-1147133.0,385.0
40.0,-43.69,-1141830.0,386.0
40.0,-43.69,-1141621.0,385.0
40.0,-43.69,-1136670.0,385.0
40.0,-43.69,-1136109.0,385.0
40.0,-43.69,-1140148.0,386.0
40.0,-43.69,-1137713.0,385.0
40.0,-43.69,-1137602.0,385.0
40.0,-43.69,-1139103.0,385.0
40.0,-43.69,-1140618.0,386.0
40.0,-43.69,-1140667.0,386.0
40.0,-43.69,-1142714.0,385.0
40.0,-43.69,-1143217.0,385.0
40.0,-43.69,-1136876.0,386.0
40.0,-43.69,-1134853.0,386.0
40.0,-43.69,-1136514.0,386.0
40.0,-43.69,-1135387.0,385.0
40.0,-43.69,-1137572.0,385.0
40.0,-43.69,-1140335.0,385.0
40.0,-43.69,-1136186.0,385.0
40.0,-43.69,-1136181.0,385.0
40.0,-43.69,-1135694.0,386.0
40.0,-43.69,-1128981.0,385.0
40.0,-43.69,-1127348.0,385.0
40.0,-43.69,-1129423.0,386.0
40.0,-43.69,-1127080.0,385.0
40.0,-43.69,-1126965.0,386.0
40.0,-43.69,-1126042.0,386.0
40.0,-43.69,-1132993.0,386.0
40.0,-43.69,-1135212.0,385.0
40.0,-43.69,-1129949.0,385.0
40.0,-43.69,-1128592.0,385.0
40.0,-43.69,-1128561.0,385.0
40.0,-43.69,-1127292.0,385.0
40.0,-43.69,-1126551.0,385.0
40.0,-43.69,-1125506.0,386.0
40.0,-43.69,-1126789.0,385.0
40.0,-43.69,-1128436.0,385.0
40.0,-43.69,-1127423.0,385.0
40.0,-43.69,-1127010.0,386.0
40.0,-43.69,-1129869.0,385.0
40.0,-43.69,-1132832.0,385.0
40.0,-43.69,-1130399.0,385.0
30.0,-57.88,-1719450.0,337.0
30.0,-57.88,-1723117.0,337.0
30.0,-57.81,-1724526.0,338.0
30.0,-57.75,-1723993.0,337.0
30.0,-57.75,-1724278.0,337.0
30.0,-57.75,-1725565.0,338.0
30.0,-57.75,-1724472.0,338.0
30.0,-57.75,-1724185.0,337.0
30.0,-57.75,-1726902.0,337.0
30.0,-57.75,-1719589.0,337.0
30.0,-57.75,-1718572.0,338.0
30.0,-57.75,-1723297.0,338.0
30.0,-57.75,-1719282.0,337.0
30.0,-57.75,-1718553.0,338.0
30.0,-57.75,-1714838.0,338.0
30.0,-57.75,-1713883.0,338.0
30.0,-57.75,-1710694.0,337.0
30.0,-57.75,-1708973.0,337.0
30.0,-57.75,-1712936.0,337.0
30.0,-57.75,-1713483.0,337.0
30.0,-57.75,-1710910.0,338.0
30.0,-57.75,-1713755.0,337.0
30.0,-57.75,-1707748.0,337.0
30.0,-57.75,-1704925.0,338.0
30.0,-57.75,-1711302.0,338.0
30.0,-57.75,-1712103.0,337.0
30.0,-57.75,-1714604.0,337.0
30.0,-57.75,-1714305.0,338.0
30.0,-57.75,-1717248.0,338.0
30.0,-57.75,-1713013.0,338.0
30.0,-57.75,-1713354.0,337.0
30.0,-57.75,-1714371.0,338.0
30.0,-57.75,-1714094.0,337.0
30.0,-57.75,-1714265.0,337.0
30.0,-57.75,-1714520.0,338.0
30.0,-57.75,-1709337.0,338.0
30.0,-57.75,-1711142.0,337.0
30.0,-57.75,-1711659.0,338.0
30.0,-57.75,-1716308.0,338.0
30.0,-57.75,-1714777.0,338.0
30.0,-57.75,-1720544.0,337.0
30.0,-57.75,-1719259.0,338.0
30.0,-57.75,-1717608.0,338.0
30.0,-57.75,-1719155.0,338.0
30.0,-57.75,-1717070.0,338.0
30.0,-57.75,-1716973.0,338.0
30.0,-57.75,-1716988.0,338.0
30.0,-57.75,-1715657.0,337.0
30.0,-57.75,-1720516.0,338.0
30.0,-57.75,-1725063.0,337.0
20.0,-71.44,-2481896.0,291.0
20.0,-71.44,-2487015.0,291.0
20.0,-71.37,-2487914.0,292.0
20.0,-71.37,-2490599.0,291.0
20.0,-71.37,-2495204.0,291.0
20.0,-71.37,-2497393.0,291.0
20.0,-71.37,-2498220.0,291.0
20.0,-71.37,-2504403.0,291.0
20.0,-71.37,-2504710.0,292.0
20.0,-71.37,-2497681.0,291.0
20.0,-71.37,-2494796.0,292.0
20.0,-71.37,-2492225.0,291.0
20.0,-71.37,-2493824.0,291.0
20.0,-71.37,-2498605.0,292.0
20.0,-71.37,-2499114.0,291.0
20.0,-71.37,-2496617.0,291.0
20.0,-71.37,-2498168.0,291.0
20.0,-71.37,-2498797.0,291.0
20.0,-71.37,-2498018.0,291.0
20.0,-71.37,-2500409.0,291.0
20.0,-71.37,-2496902.0,291.0
20.0,-71.37,-2497433.0,291.0
20.0,-71.37,-2496166.0,292.0
20.0,-71.37,-2495225.0,291.0
20.0,-71.37,-2496492.0,291.0
20.0,-71.37,-2497745.0,291.0
20.0,-71.37,-2495616.0,291.0
20.0,-71.37,-2493263.0,291.0
20.0,-71.37,-2497648.0,291.0
20.0,-71.37,-2504349.0,292.0
20.0,-71.37,-2500988.0,290.0
20.0,-71.37,-2498131.0,291.0
20.0,-71.37,-2495514.0,291.0
20.0,-71.37,-2494299.0,291.0
20.0,-71.37,-2492638.0,291.0
20.0,-71.37,-2496549.0,291.0
20.0,-71.37,-2492098.0,292.0
20.0,-71.37,-2498539.0,291.0
20.0,-71.37,-2498344.0,291.0
20.0,-71.37,-2502237.0,291.0
20.0,-71.37,-2501900.0,291.0
20.0,-71.37,-2502165.0,291.0
20.0,-71.37,-2499994.0,291.0
20.0,-71.37,-2500783.0,291.0
20.0,-71.37,-2503928.0,292.0
20.0,-71.37,-2505297.0,291.0
20.0,-71.37,-2504724.0,291.0
20.0,-71.37,-2499753.0,292.0
20.0,-71.37,-2497188.0,291.0
20.0,-71.37,-2499397.0,292.0
10.0,-84.44,-3762100.0,245.0
10.0,-84.44,-3770973.0,245.0
10.0,-84.44,-3785542.0,246.0
10.0,-84.44,-3788507.0,245.0
10.0,-84.44,-3784310.0,247.0
10.0,-84.44,-3789265.0,246.0
10.0,-84.44,-3795842.0,246.0
10.0,-84.44,-3801897.0,246.0
10.0,-84.44,-3811014.0,246.0
10.0,-84.44,-3811223.0,246.0
10.0,-84.44,-3816420.0,245.0
10.0,-84.44,-3816935.0,246.0
10.0,-84.44,-3816082.0,246.0
10.0,-84.44,-3819111.0,246.0
10.0,-84.44,-3825524.0,246.0
10.0,-84.44,-3819459.0,246.0
10.0,-84.44,-3820578.0,246.0
10.0,-84.44,-3831195.0,246.0
10.0,-84.44,-3835222.0,246.0
10.0,-84.44,-3832629.0,246.0
10.0,-84.44,-3830032.0,245.0
10.0,-84.44,-3829173.0,246.0
10.0,-84.44,-3827936.0,245.0
10.0,-84.44,-3830779.0,246.0
10.0,-84.44,-3832838.0,246.0
10.0,-84.44,-3836447.0,246.0
10.0,-84.44,-3837742.0,246.0
10.0,-84.44,-3836085.0,245.0
10.0,-84.44,-3836544.0,246.0
10.0,-84.44,-3831271.0,246.0
10.0,-84.44,-3834318.0,246.0
10.0,-84.44,-3835171.0,246.0
10.0,-84.44,-3836450.0,246.0
10.0,-84.44,-3836687.0,246.0
10.0,-84.44,-3832778.0,246.0
10.0,-84.44,-3835373.0,246.0
10.0,-84.44,-3833658.0,245.0
10.0,-84.44,-3836609.0,247.0
10.0,-84.44,-3840832.0,244.0
10.0,-84.44,-3841869.0,245.0
10.0,-84.44,-3845604.0,246.0
10.0,-84.44,-3847529.0,246.0
10.0,-84.44,-3843902.0,246.0
10.0,-84.44,-3846235.0,246.0
10.0,-84.44,-3837662.0,246.0
10.0,-84.44,-3842343.0,245.0
10.0,-84.44,-3844638.0,246.0
10.0,-84.44,-3843673.0,246.0
10.0,-84.44,-3843766.0,246.0
10.0,-84.44,-3850667.0,246.0
20.0,-71.87,-2668764.0,288.0
20.0,-71.87,-2668631.0,288.0
20.0,-71.81,-2670360.0,289.0
20.0,-71.81,-2671637.0,289.0
20.0,-71.81,-2665182.0,288.0
20.0,-71.75,-2663989.0,289.0
20.0,-71.75,-2664858.0,289.0
20.0,-71.75,-2663797.0,289.0
20.0,-71.75,-2663472.0,289.0
20.0,-71.75,-2664971.0,289.0
20.0,-71.75,-2669342.0,289.0
20.0,-71.75,-2669603.0,289.0
20.0,-71.75,-2663812.0,288.0
20.0,-71.75,-2662255.0,289.0
20.0,-71.75,-2667390.0,289.0
20.0,-71.75,-2665817.0,289.0
20.0,-71.75,-2661612.0,289.0
20.0,-71.75,-2660439.0,289.0
20.0,-71.75,-2660628.0,289.0
20.0,-71.75,-2663545.0,289.0
20.0,-71.75,-2662382.0,288.0
20.0,-71.75,-2661287.0,289.0
20.0,-71.75,-2663500.0,289.0
20.0,-71.75,-2657763.0,289.0
20.0,-71.75,-2659802.0,290.0
20.0,-71.75,-2661873.0,289.0
20.0,-71.75,-2666672.0,289.0
20.0,-71.75,-2664285.0,289.0
20.0,-71.75,-2663890.0,289.0
20.0,-71.75,-2664635.0,288.0
20.0,-71.75,-2663408.0,289.0
20.0,-71.75,-2660529.0,289.0
20.0,-71.75,-2661358.0,289.0
20.0,-71.75,-2661415.0,289.0
20.0,-71.75,-2659552.0,289.0
20.0,-71.75,-2648411.0,289.0
20.0,-71.75,-2650164.0,289.0
20.0,-71.75,-2661517.0,289.0
20.0,-71.75,-2656832.0,289.0
20.0,-71.75,-2660773.0,289.0
20.0,-71.75,-2668316.0,289.0
20.0,-71.75,-2670487.0,289.0
20.0,-71.75,-2668420.0,289.0
20.0,-71.75,-2667343.0,289.0
20.0,-71.75,-2663714.0,289.0
20.0,-71.75,-2662347.0,289.0
20.0,-71.75,-2666322.0,289.0
20.0,-71.75,-2669447.0,288.0
20.0,-71.75,-2668448.0,289.0
20.0,-71.75,-2668957.0,288.0
30.0,-57.69,-1869076.0,335.0
30.0,-57.69,-1867801.0,335.0
30.0,-57.69,-1873612.0,336.0
30.0,-57.69,-1876331.0,335.0
30.0,-57.69,-1875790.0,335.0
30.0,-57.69,-1881247.0,335.0
30.0,-57.69,-1879884.0,336.0
30.0,-57.69,-1874453.0,335.0
30.0,-57.69,-1874624.0,336.0
30.0,-57.69,-1873779.0,335.0
30.0,-57.69,-1875264.0,336.0
30.0,-57.69,-1876059.0,335.0
30.0,-57.69,-1875818.0,336.0
30.0,-57.69,-1883955.0,335.0
30.0,-57.69,-1883078.0,335.0
30.0,-57.69,-1884469.0,336.0
30.0,-57.69,-1886030.0,336.0
30.0,-57.69,-1889097.0,336.0
30.0,-57.69,-1883478.0,336.0
30.0,-57.69,-1881057.0,336.0
30.0,-57.69,-1883488.0,335.0
30.0,-57.69,-1884041.0,335.0
30.0,-57.69,-1881614.0,335.0
30.0,-57.69,-1881015.0,336.0
30.0,-57.69,-1886138.0,336.0
30.0,-57.69,-1889069.0,335.0
30.0,-57.69,-1897220.0,336.0
30.0,-57.69,-1895917.0,335.0
30.0,-57.69,-1893646.0,335.0
30.0,-57.69,-1893357.0,336.0
30.0,-57.69,-1891854.0,335.0
30.0,-57.69,-1889809.0,335.0
30.0,-57.69,-1892858.0,336.0
30.0,-57.69,-1889549.0,335.0
30.0,-57.69,-1891806.0,336.0
30.0,-57.69,-1887429.0,335.0
30.0,-57.69,-1885440.0,335.0
30.0,-57.69,-1885423.0,334.0
30.0,-57.69,-1880834.0,336.0
30.0,-57.69,-1890273.0,335.0
30.0,-57.69,-1890466.0,336.0
30.0,-57.69,-1886181.0,335.0
30.0,-57.69,-1882830.0,335.0
30.0,-57.69,-1882541.0,335.0
30.0,-57.69,-1879994.0,335.0
30.0,-57.69,-1877747.0,335.0
30.0,-57.69,-1879874.0,335.0
30.0,-57.69,-1876371.0,335.0
30.0,-57.69,-1875226.0,335.0
30.0,-57.69,-1876207.0,336.0
40.0,-43.63,-1295022.0,382.0
40.0,-43.63,-1299971.0,382.0
40.0,-43.63,-1298626.0,381.0
40.0,-43.63,-1297687.0,382.0
40.0,-43.63,-1290952.0,382.0
40.0,-43.63,-1289861.0,381.0
40.0,-43.63,-1291404.0,381.0
40.0,-43.63,-1294279.0,382.0
40.0,-43.63,-1294708.0,382.0
40.0,-43.63,-1292121.0,382.0
