Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
0.0,29.37,3884.0,616.0
0.0,29.37,4125.0,616.0
0.0,29.37,6974.0,617.0
0.0,29.37,7071.0,616.0
0.0,29.37,8966.0,617.0
0.0,29.37,3631.0,616.0
0.0,29.37,3406.0,616.0
0.0,29.37,100.0,
100.0,100.0,100.0,100.0
70.0,-1.75,-42733.0,521.0
70.0,-1.75,-42934.0,521.0
70.0,-1.75,-41051.0,521.0
70.0,-1.75,-39812.0,521.0
70.0,-1.75,-38865.0,522.0
70.0,-1.75,-34258.0,521.0
70.0,-1.75,-32603.0,522.0
70.0,-1.75,-28362.0,522.0
70.0,-1.75,-33803.0,521.0
70.0,-1.75,-34514.0,521.0
70.0,-1.75,-31369.0,522.0
70.0,-1.75,-24644.0,522.0
70.0,-1.75,-28023.0,522.0
70.0,-1.75,-28612.0,521.0
70.0,-1.75,-25421.0,521.0
70.0,-1.75,-25466.0,522.0
70.0,-1.75,-27583.0,522.0
70.0,-1.75,-30722.0,522.0
70.0,-1.75,-30347.0,521.0
70.0,-1.75,-28860.0,521.0
70.0,-1.75,-25053.0,522.0
70.0,-1.75,-22986.0,521.0
70.0,-1.75,-21007.0,521.0
70.0,-1.75,-21316.0,522.0
70.0,-1.75,-19343.0,522.0
70.0,-1.75,-21478.0,522.0
70.0,-1.75,-27855.0,521.0
70.0,-1.75,-31532.0,521.0
70.0,-1.75,-30879.0,522.0
70.0,-1.75,-25604.0,522.0
70.0,-1.75,-24745.0,521.0
70.0,-1.75,-29238.0,522.0
70.0,-1.75,-27583.0,522.0
70.0,-1.75,-26046.0,522.0
70.0,-1.75,-25515.0,522.0
60.0,-15.5,-397870.0,478.0
60.0,-15.5,-395073.0,478.0
60.0,-15.5,-395928.0,478.0
60.0,-15.5,-391181.0,479.0
60.0,-15.5,-385450.0,478.0
60.0,-15.5,-386297.0,478.0
60.0,-15.5,-379516.0,479.0
60.0,-15.5,-379023.0,478.0
60.0,-15.5,-378246.0,478.0
60.0,-15.5,-376187.0,478.0
60.0,-15.5,-376392.0,478.0
60.0,-15.5,-376237.0,478.0
60.0,-15.5,-373948.0,478.0
60.0,-15.5,-377937.0,478.0
60.0,-15.5,-376392.0,478.0
60.0,-15.5,-377199.0,478.0
60.0,-15.5,-374986.0,479.0
60.0,-15.5,-369459.0,478.0
60.0,-15.5,-365916.0,478.0
60.0,-15.5,-363957.0,478.0
60.0,-15.5,-366974.0,478.0
60.0,-15.5,-366909.0,478.0
60.0,-15.5,-370496.0,478.0
60.0,-15.5,-376321.0,478.0
60.0,-15.5,-376140.0,478.0
60.0,-15.5,-376055.0,478.0
60.0,-15.5,-371804.0,478.0
60.0,-15.5,-373473.0,478.0
60.0,-15.5,-366178.0,478.0
60.0,-15.5,-369025.0,478.0
60.0,-15.5,-368948.0,478.0
60.0,-15.5,-369069.0,478.0
60.0,-15.5,-368186.0,478.0
60.0,-15.5,-368937.0,478.0
60.0,-15.5,-374902.0,478.0
