Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
0.0,-1.0,-98355.0,522.0
70.0,-1.0,-97310.0,522.0
70.0,-1.0,-97319.0,522.0
70.0,-1.0,-97468.0,522.0
70.0,-1.0,-97931.0,522.0
70.0,-1.0,-97900.0,522.0
70.0,-1.0,-98355.0,522.0
70.0,-1.0,-97310.0,522.0
70.0,-1.0,-97319.0,522.0
70.0,-1.0,-97468.0,522.0
100.0,100.0,100.0,100.0
70.0,-0.44,-5311.0,522.0
70.0,-0.5,-5314.0,522.0
70.0,-0.56,-4693.0,522.0
70.0,-0.56,-2978.0,522.0
70.0,-0.63,-3305.0,522.0
70.0,-0.69,-4368.0,522.0
70.0,-0.69,-5033.0,522.0
70.0,-0.69,-5424.0,522.0
70.0,-0.69,-4581.0,522.0
70.0,-0.69,-4368.0,522.0
70.0,-0.69,-4077.0,522.0
70.0,-0.69,-4372.0,522.0
70.0,-0.69,-4991.0,522.0
70.0,-0.69,-4290.0,522.0
70.0,-0.69,-5645.0,522.0
70.0,-0.69,-5490.0,522.0
70.0,-0.69,-4741.0,522.0
70.0,-0.69,-4574.0,522.0
70.0,-0.69,-4457.0,522.0
70.0,-0.69,-3734.0,522.0
70.0,-0.69,-2679.0,522.0
70.0,-0.69,-2656.0,522.0
70.0,-0.69,-2021.0,522.0
70.0,-0.69,-2324.0,522.0
70.0,-0.69,-2951.0,522.0
70.0,-0.69,-2774.0,522.0
70.0,-0.69,-1867.0,522.0
70.0,-0.69,-1992.0,522.0
70.0,-0.69,-2297.0,522.0
70.0,-0.69,-1300.0,522.0
70.0,-0.69,-1983.0,522.0
70.0,-0.69,-2188.0,522.0
60.0,-14.69,-86147.0,478.0
60.0,-14.69,-86040.0,478.0
60.0,-14.69,-85975.0,478.0
60.0,-14.69,-85972.0,478.0
60.0,-14.69,-86441.0,477.0
60.0,-14.69,-85810.0,478.0
60.0,-14.69,-85861.0,477.0
60.0,-14.69,-84668.0,478.0
60.0,-14.69,-84733.0,477.0
60.0,-14.69,-84606.0,477.0
60.0,-14.69,-84615.0,478.0
60.0,-14.69,-85530.0,478.0
60.0,-14.69,-85753.0,477.0
60.0,-14.69,-85834.0,478.0
60.0,-14.69,-85423.0,478.0
60.0,-14.69,-85314.0,478.0
60.0,-14.69,-85543.0,478.0
60.0,-14.69,-84988.0,478.0
60.0,-14.69,-85335.0,478.0
60.0,-14.69,-85764.0,478.0
60.0,-14.69,-85603.0,478.0
60.0,-14.69,-85660.0,478.0
60.0,-14.69,-85223.0,478.0
60.0,-14.69,-85234.0,478.0
60.0,-14.69,-85487.0,478.0
60.0,-14.69,-84376.0,478.0
60.0,-14.69,-83671.0,478.0
60.0,-14.69,-85474.0,478.0
60.0,-14.69,-85917.0,478.0
60.0,-14.69,-86820.0,478.0
60.0,-14.69,-86463.0,478.0
60.0,-14.69,-86338.0,478.0
60.0,-14.69,-86293.0,478.0
60.0,-14.69,-87030.0,478.0
60.0,-14.69,-86427.0,478.0
60.0,-14.69,-86658.0,478.0
60.0,-14.69,-86761.0,478.0
60.0,-14.69,-85660.0,478.0
60.0,-14.69,-84929.0,478.0
60.0,-14.69,-84732.0,478.0
60.0,-14.69,-84599.0,478.0
60.0,-14.69,-84734.0,478.0
60.0,-14.69,-85431.0,478.0
60.0,-14.69,-85642.0,478.0
60.0,-14.69,-85743.0,477.0
60.0,-14.69,-85278.0,477.0
60.0,-14.69,-85709.0,478.0
60.0,-14.69,-85870.0,480.0
60.0,-14.13,-86683.0,479.0
60.0,-14.13,-84082.0,480.0
50.0,-28.0,-207941.0,433.0
50.0,-28.0,-208636.0,433.0
50.0,-28.0,-208925.0,433.0
50.0,-28.0,-209234.0,434.0
50.0,-28.0,-209413.0,433.0
50.0,-28.0,-207306.0,433.0
50.0,-28.0,-207049.0,433.0
50.0,-28.0,-206840.0,433.0
50.0,-28.0,-206293.0,434.0
50.0,-28.0,-206226.0,433.0
50.0,-28.0,-206117.0,433.0
50.0,-28.0,-205494.0,432.0
50.0,-28.0,-205365.0,433.0
50.0,-28.0,-205554.0,433.0
50.0,-28.0,-205441.0,433.0
50.0,-28.0,-204558.0,433.0
50.0,-28.0,-204641.0,433.0
50.0,-28.0,-205148.0,433.0
50.0,-28.0,-205163.0,434.0
50.0,-28.0,-205252.0,433.0
