Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
0.0,28.44,94416.0,615.0
0.0,28.44,94531.0,616.0
0.0,28.44,93718.0,615.0
0.0,28.44,92734.0,616.0
0.0,28.44,93081.0,615.0
0.0,28.44,92980.0,615.0
0.0,28.44,93539.0,616.0
0.0,28.44,94416.0,615.0
0.0,28.44,94531.0,616.0
0.0,28.44,93718.0,615.0
100.0,100.0,100.0,100.0
70.0,-1.69,-13099.0,522.0
70.0,-1.69,-12676.0,522.0
70.0,-1.69,-12289.0,522.0
70.0,-1.69,-12268.0,522.0
70.0,-1.69,-11595.0,522.0
70.0,-1.69,-10850.0,522.0
70.0,-1.69,-11369.0,522.0
70.0,-1.69,-11296.0,522.0
70.0,-1.69,-11297.0,522.0
70.0,-1.69,-11412.0,522.0
70.0,-1.69,-11735.0,522.0
70.0,-1.69,-11092.0,523.0
70.0,-1.69,-10557.0,523.0
70.0,-1.69,-9308.0,523.0
70.0,-1.69,-10527.0,522.0
70.0,-1.69,-10550.0,522.0
70.0,-1.69,-10475.0,522.0
70.0,-1.69,-9970.0,522.0
70.0,-1.69,-10497.0,522.0
70.0,-1.69,-9812.0,522.0
70.0,-1.69,-9649.0,522.0
70.0,-1.69,-9612.0,522.0
70.0,-1.69,-9969.0,522.0
70.0,-1.69,-9984.0,522.0
70.0,-1.69,-9551.0,522.0
70.0,-1.69,-9446.0,522.0
70.0,-1.69,-9117.0,522.0
70.0,-1.69,-8896.0,522.0
70.0,-1.69,-8645.0,523.0
70.0,-1.69,-9784.0,522.0
70.0,-1.69,-9483.0,522.0
60.0,-15.19,-102254.0,478.0
60.0,-15.19,-101485.0,479.0
60.0,-15.13,-101600.0,479.0
60.0,-15.13,-101013.0,478.0
60.0,-15.13,-100488.0,479.0
60.0,-15.13,-99963.0,478.0
60.0,-15.13,-98902.0,479.0
60.0,-15.13,-99545.0,478.0
60.0,-15.13,-100206.0,479.0
60.0,-15.13,-99449.0,479.0
60.0,-15.13,-99508.0,479.0
60.0,-15.13,-100213.0,479.0
60.0,-15.13,-99928.0,479.0
60.0,-15.13,-98665.0,479.0
60.0,-15.13,-98972.0,479.0
60.0,-15.13,-99029.0,478.0
60.0,-15.13,-99182.0,478.0
60.0,-15.13,-99375.0,479.0
60.0,-15.13,-98824.0,479.0
60.0,-15.13,-97409.0,479.0
60.0,-15.13,-97516.0,479.0
60.0,-15.13,-97841.0,479.0
60.0,-15.13,-98402.0,478.0
60.0,-15.13,-97959.0,479.0
60.0,-15.13,-97894.0,479.0
60.0,-15.13,-96667.0,479.0
60.0,-15.13,-97506.0,479.0
60.0,-15.13,-97071.0,478.0
60.0,-15.13,-97230.0,479.0
60.0,-15.13,-96237.0,479.0
60.0,-15.13,-97654.0,479.0
60.0,-15.13,-97679.0,479.0
60.0,-15.13,-97512.0,479.0
60.0,-15.13,-97159.0,479.0
60.0,-15.13,-96962.0,478.0
60.0,-15.13,-97431.0,479.0
60.0,-15.13,-96848.0,479.0
60.0,-15.13,-96539.0,479.0
60.0,-15.13,-96388.0,479.0
60.0,-15.13,-96301.0,479.0
60.0,-15.13,-96390.0,479.0
60.0,-15.13,-96517.0,479.0
60.0,-15.13,-97244.0,479.0
60.0,-15.13,-97089.0,479.0
60.0,-15.13,-97318.0,479.0
60.0,-15.13,-98253.0,479.0
60.0,-15.13,-98330.0,478.0
60.0,-15.13,-98247.0,478.0
60.0,-15.13,-97898.0,479.0
60.0,-15.13,-97195.0,479.0
50.0,-29.19,-213026.0,433.0
50.0,-29.12,-213819.0,434.0
50.0,-29.06,-213464.0,433.0
50.0,-29.0,-213263.0,433.0
50.0,-29.0,-213422.0,434.0
50.0,-29.0,-213137.0,433.0
50.0,-29.0,-213332.0,434.0
50.0,-29.0,-213147.0,434.0
50.0,-29.0,-213802.0,434.0
50.0,-29.0,-213845.0,434.0
50.0,-29.0,-213466.0,434.0
50.0,-29.0,-213715.0,433.0
