Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
70.0,-3.06,-213423.0,516.0
70.0,-3.06,-216892.0,515.0
70.0,-3.06,-216597.0,515.0
70.0,-3.06,-216100.0,516.0
70.0,-3.06,-215544.0,516.0
70.0,-3.06,-213423.0,516.0
70.0,-3.06,-216892.0,515.0
70.0,-3.06,-216597.0,515.0
70.0,-3.06,-216100.0,516.0
100.0,100.0,100.0,100.0
70.0,-1.94,27587.0,522.0
70.0,-1.94,31374.0,521.0
70.0,-1.94,37211.0,522.0
70.0,-1.94,33098.0,522.0
70.0,-1.94,36645.0,521.0
70.0,-1.94,37856.0,522.0
70.0,-1.94,38649.0,522.0
70.0,-1.94,41722.0,521.0
70.0,-1.94,42209.0,522.0
70.0,-1.94,45136.0,522.0
70.0,-1.94,46197.0,522.0
70.0,-1.94,49390.0,522.0
70.0,-1.94,45761.0,522.0
70.0,-1.94,42162.0,522.0
70.0,-1.94,47227.0,521.0
70.0,-1.94,45332.0,522.0
70.0,-1.94,46645.0,522.0
70.0,-1.94,46928.0,522.0
70.0,-1.94,43139.0,522.0
70.0,-1.94,44526.0,522.0
70.0,-1.94,43019.0,522.0
70.0,-1.94,44972.0,521.0
70.0,-1.94,42047.0,522.0
70.0,-1.94,42380.0,522.0
70.0,-1.94,39317.0,522.0
70.0,-1.94,36394.0,522.0
70.0,-1.94,37729.0,522.0
70.0,-1.94,39280.0,522.0
70.0,-1.94,38841.0,522.0
70.0,-1.94,34870.0,522.0
70.0,-1.94,33289.0,522.0
70.0,-1.94,39188.0,522.0
60.0,-15.75,-311741.0,479.0
60.0,-15.75,-314026.0,479.0
60.0,-15.75,-313397.0,478.0
60.0,-15.75,-308288.0,479.0
60.0,-15.75,-307575.0,479.0
60.0,-15.75,-312406.0,478.0
60.0,-15.75,-315833.0,478.0
60.0,-15.75,-315356.0,478.0
60.0,-15.75,-309899.0,478.0
60.0,-15.75,-303654.0,478.0
60.0,-15.75,-305349.0,478.0
60.0,-15.75,-308450.0,478.0
60.0,-15.75,-302635.0,479.0
60.0,-15.75,-303476.0,478.0
60.0,-15.75,-302645.0,478.0
60.0,-15.75,-303660.0,478.0
60.0,-15.75,-304947.0,479.0
60.0,-15.75,-299516.0,478.0
60.0,-15.75,-296899.0,479.0
60.0,-15.75,-296300.0,479.0
60.0,-15.75,-294125.0,478.0
60.0,-15.75,-291674.0,478.0
60.0,-15.75,-287837.0,478.0
60.0,-15.75,-290054.0,478.0
60.0,-15.75,-289783.0,478.0
60.0,-15.75,-290166.0,478.0
60.0,-15.75,-291771.0,478.0
60.0,-15.75,-297524.0,478.0
60.0,-15.75,-299281.0,478.0
60.0,-15.75,-299914.0,478.0
60.0,-15.75,-298319.0,478.0
60.0,-15.75,-295270.0,478.0
60.0,-15.75,-294677.0,479.0
60.0,-15.75,-293396.0,478.0
60.0,-15.75,-293299.0,479.0
60.0,-15.75,-293070.0,478.0
60.0,-15.75,-291071.0,478.0
60.0,-15.75,-294662.0,478.0
60.0,-15.75,-297237.0,478.0
60.0,-15.75,-292246.0,478.0
60.0,-15.75,-292407.0,478.0
60.0,-15.75,-297788.0,478.0
60.0,-15.75,-299333.0,479.0
60.0,-15.75,-299780.0,478.0
60.0,-15.75,-296641.0,478.0
60.0,-15.75,-296340.0,478.0
60.0,-15.75,-291443.0,478.0
60.0,-15.75,-294014.0,478.0
60.0,-15.75,-288795.0,478.0
60.0,-15.75,-287766.0,478.0
50.0,-29.37,-719935.0,434.0
50.0,-29.31,-724796.0,434.0
50.0,-29.31,-722577.0,435.0
50.0,-29.25,-724332.0,434.0
50.0,-29.25,-723561.0,434.0
50.0,-29.25,-723164.0,434.0
50.0,-29.25,-724761.0,434.0
50.0,-29.25,-723878.0,434.0
50.0,-29.25,-724031.0,434.0
50.0,-29.25,-728444.0,434.0
50.0,-29.25,-727409.0,434.0
50.0,-29.25,-723718.0,434.0
50.0,-29.25,-723813.0,434.0
50.0,-29.25,-727880.0,434.0
50.0,-29.25,-727179.0,434.0
50.0,-29.25,-724094.0,434.0
50.0,-29.25,-724679.0,434.0
50.0,-29.25,-723544.0,434.0
50.0,-29.25,-725393.0,434.0
50.0,-29.25,-725830.0,434.0
50.0,-29.25,-728313.0,434.0
50.0,-29.25,-726992.0,434.0
50.0,-29.25,-726951.0,434.0
50.0,-29.25,-728512.0,434.0
50.0,-29.25,-729147.0,434.0
50.0,-29.25,-726912.0,434.0
50.0,-29.25,-721875.0,434.0
50.0,-29.25,-722430.0,434.0
50.0,-29.25,-722541.0,434.0
50.0,-29.25,-722806.0,434.0
50.0,-29.25,-719025.0,434.0
50.0,-29.25,-717202.0,434.0
50.0,-29.25,-714823.0,434.0
50.0,-29.25,-716104.0,434.0
50.0,-29.25,-716441.0,434.0
50.0,-29.25,-716742.0,435.0
50.0,-29.25,-718169.0,434.0
50.0,-29.25,-720704.0,434.0
50.0,-29.25,-720137.0,434.0
50.0,-29.25,-718440.0,434.0
50.0,-29.25,-717155.0,434.0
50.0,-29.25,-715436.0,434.0
50.0,-29.25,-717637.0,434.0
50.0,-29.25,-716312.0,434.0
50.0,-29.25,-712213.0,434.0
50.0,-29.25,-717724.0,434.0
50.0,-29.25,-717613.0,434.0
50.0,-29.25,-717406.0,434.0
50.0,-29.25,-715509.0,434.0
50.0,-29.25,-715950.0,434.0
40.0,-44.06,-1283099.0,385.0
40.0,-44.06,-1282212.0,385.0
40.0,-44.0,-1282845.0,385.0
40.0,-43.94,-1282706.0,385.0
40.0,-43.94,-1282819.0,385.0
40.0,-43.94,-1282160.0,385.0
40.0,-43.94,-1282421.0,385.0
40.0,-43.94,-1279282.0,385.0
40.0,-43.94,-1280965.0,385.0
40.0,-43.94,-1284062.0,385.0
40.0,-43.94,-1288047.0,385.0
40.0,-43.94,-1287462.0,384.0
40.0,-43.94,-1281011.0,385.0
40.0,-43.94,-1284714.0,385.0
40.0,-43.94,-1283155.0,385.0
40.0,-43.94,-1275930.0,385.0
40.0,-43.94,-1273667.0,385.0
40.0,-43.94,-1270046.0,385.0
40.0,-43.94,-1270661.0,385.0
40.0,-43.94,-1272656.0,385.0
40.0,-43.94,-1273729.0,385.0
40.0,-43.94,-1270500.0,386.0
40.0,-43.94,-1270409.0,385.0
40.0,-43.94,-1269746.0,385.0
40.0,-43.94,-1269565.0,386.0
40.0,-43.94,-1269494.0,385.0
40.0,-43.94,-1269501.0,385.0
40.0,-43.94,-1268798.0,386.0
40.0,-43.94,-1269891.0,385.0
40.0,-43.94,-1270486.0,385.0
40.0,-43.94,-1272449.0,385.0
40.0,-43.94,-1273638.0,385.0
40.0,-43.94,-1276519.0,385.0
40.0,-43.94,-1276566.0,385.0
40.0,-43.94,-1278289.0,385.0
40.0,-43.94,-1275504.0,385.0
40.0,-43.94,-1273791.0,385.0
40.0,-43.94,-1273942.0,385.0
40.0,-43.94,-1273347.0,385.0
40.0,-43.94,-1273566.0,385.0
40.0,-43.94,-1267957.0,385.0
40.0,-43.94,-1265668.0,385.0
40.0,-43.94,-1267617.0,385.0
40.0,-43.94,-1266438.0,385.0
40.0,-43.94,-1268493.0,385.0
40.0,-43.94,-1264408.0,385.0
40.0,-43.94,-1264359.0,385.0
40.0,-43.94,-1267478.0,385.0
40.0,-43.94,-1269715.0,385.0
40.0,-43.94,-1267550.0,385.0
30.0,-58.13,-1870005.0,337.0
30.0,-58.13,-1871122.0,337.0
30.0,-58.06,-1870949.0,337.0
30.0,-58.06,-1868110.0,338.0
30.0,-58.06,-1867139.0,338.0
30.0,-58.06,-1866054.0,337.0
30.0,-58.06,-1871229.0,338.0
30.0,-58.06,-1873096.0,338.0
30.0,-58.06,-1872425.0,337.0
30.0,-58.06,-1869786.0,338.0
30.0,-58.06,-1868217.0,337.0
30.0,-58.06,-1864650.0,337.0
30.0,-58.06,-1860573.0,338.0
30.0,-58.06,-1860218.0,338.0
30.0,-58.06,-1861865.0,338.0
30.0,-58.06,-1860572.0,337.0
30.0,-58.06,-1858357.0,338.0
30.0,-58.06,-1861702.0,338.0
30.0,-58.06,-1859807.0,337.0
30.0,-58.06,-1858412.0,337.0
30.0,-58.06,-1858563.0,337.0
30.0,-58.06,-1862608.0,338.0
30.0,-58.06,-1863057.0,337.0
30.0,-58.06,-1869262.0,338.0
30.0,-58.06,-1870031.0,338.0
30.0,-58.06,-1863966.0,338.0
