Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
70.0,-1.56,749815.0,521.0
70.0,-1.56,746904.0,522.0
70.0,-1.56,743745.0,522.0
70.0,-1.56,744192.0,522.0
70.0,-1.56,742779.0,522.0
70.0,-1.56,742808.0,100.0
100.0,100.0,100.0,100.0
70.0,-1.56,9777.0,522.0
70.0,-1.56,11548.0,522.0
70.0,-1.56,11457.0,522.0
70.0,-1.56,9292.0,522.0
70.0,-1.56,9047.0,522.0
70.0,-1.56,11268.0,522.0
70.0,-1.56,12255.0,522.0
70.0,-1.56,11484.0,522.0
70.0,-1.56,12605.0,522.0
70.0,-1.56,10192.0,522.0
70.0,-1.56,12333.0,522.0
70.0,-1.56,14008.0,522.0
70.0,-1.56,11691.0,522.0
70.0,-1.56,8434.0,523.0
70.0,-1.56,14171.0,522.0
70.0,-1.56,16942.0,522.0
70.0,-1.56,12351.0,522.0
70.0,-1.56,11818.0,522.0
70.0,-1.56,13947.0,522.0
70.0,-1.56,16204.0,522.0
70.0,-1.56,14413.0,522.0
70.0,-1.56,18088.0,522.0
70.0,-1.56,19199.0,522.0
70.0,-1.56,17546.0,522.0
70.0,-1.56,17819.0,522.0
70.0,-1.56,15110.0,522.0
70.0,-1.56,15435.0,522.0
70.0,-1.56,14696.0,522.0
70.0,-1.56,12079.0,522.0
70.0,-1.56,9642.0,522.0
70.0,-1.56,11781.0,522.0
70.0,-1.56,20024.0,522.0
70.0,-1.56,21139.0,522.0
70.0,-1.56,20822.0,522.0
70.0,-1.56,19925.0,522.0
70.0,-1.56,23978.0,522.0
60.0,-15.38,-332307.0,478.0
60.0,-15.38,-332946.0,478.0
60.0,-15.38,-330757.0,478.0
60.0,-15.38,-331302.0,478.0
60.0,-15.38,-329029.0,478.0
60.0,-15.38,-327222.0,478.0
60.0,-15.38,-328471.0,478.0
60.0,-15.38,-325868.0,477.0
60.0,-15.38,-331665.0,478.0
60.0,-15.38,-328832.0,478.0
60.0,-15.38,-323975.0,478.0
60.0,-15.38,-326154.0,478.0
60.0,-15.38,-324859.0,477.0
60.0,-15.38,-323298.0,478.0
60.0,-15.38,-318793.0,478.0
60.0,-15.38,-316778.0,478.0
60.0,-15.38,-320739.0,478.0
60.0,-15.38,-320714.0,478.0
60.0,-15.38,-317329.0,478.0
60.0,-15.38,-316552.0,478.0
60.0,-15.38,-315343.0,477.0
60.0,-15.38,-319074.0,478.0
60.0,-15.38,-320093.0,478.0
60.0,-15.38,-319396.0,478.0
60.0,-15.38,-321357.0,478.0
60.0,-15.38,-320168.0,478.0
60.0,-15.38,-318409.0,478.0
60.0,-15.38,-313744.0,478.0
60.0,-15.38,-315601.0,478.0
60.0,-15.38,-315200.0,478.0
60.0,-15.38,-314859.0,478.0
60.0,-15.38,-315232.0,478.0
60.0,-15.38,-313835.0,477.0
60.0,-15.38,-309812.0,478.0
60.0,-15.38,-312463.0,477.0
60.0,-15.38,-313844.0,478.0
60.0,-15.38,-316745.0,478.0
60.0,-15.38,-317588.0,478.0
60.0,-15.38,-315479.0,478.0
60.0,-15.38,-313042.0,478.0
60.0,-15.38,-313847.0,478.0
60.0,-15.38,-313978.0,477.0
60.0,-15.38,-306371.0,479.0
60.0,-14.94,-307382.0,479.0
60.0,-14.94,-302097.0,479.0
60.0,-14.94,-302834.0,479.0
60.0,-14.94,-304941.0,479.0
60.0,-14.94,-308496.0,479.0
60.0,-14.94,-310379.0,479.0
60.0,-14.94,-305458.0,480.0
50.0,-29.0,-741587.0,434.0
50.0,-29.0,-745922.0,434.0
50.0,-28.94,-746517.0,434.0
50.0,-28.87,-747202.0,435.0
50.0,-28.81,-745995.0,434.0
50.0,-28.81,-749884.0,434.0
50.0,-28.81,-746521.0,434.0
50.0,-28.81,-746458.0,434.0
50.0,-28.81,-745637.0,434.0
50.0,-28.81,-749084.0,434.0
50.0,-28.81,-750007.0,434.0
50.0,-28.81,-748848.0,434.0
50.0,-28.81,-746773.0,434.0
50.0,-28.81,-749048.0,434.0
50.0,-28.81,-752377.0,434.0
50.0,-28.81,-752006.0,434.0
50.0,-28.81,-752811.0,434.0
50.0,-28.81,-751378.0,434.0
50.0,-28.75,-750887.0,434.0
50.0,-28.75,-748932.0,434.0
50.0,-28.69,-743567.0,434.0
50.0,-28.69,-741796.0,434.0
50.0,-28.62,-745549.0,434.0
50.0,-28.62,-747342.0,434.0
50.0,-28.62,-745523.0,435.0
50.0,-28.56,-746732.0,434.0
50.0,-28.56,-746247.0,434.0
50.0,-28.56,-742902.0,435.0
50.0,-28.56,-740035.0,434.0
50.0,-28.56,-737988.0,434.0
50.0,-28.56,-743051.0,435.0
50.0,-28.56,-742222.0,434.0
50.0,-28.56,-753389.0,434.0
50.0,-28.56,-750636.0,434.0
50.0,-28.56,-748557.0,434.0
50.0,-28.56,-747376.0,434.0
50.0,-28.56,-749985.0,434.0
50.0,-28.56,-750300.0,434.0
50.0,-28.56,-745187.0,435.0
50.0,-28.56,-748014.0,435.0
50.0,-28.56,-747201.0,434.0
50.0,-28.56,-751006.0,434.0
50.0,-28.56,-748375.0,434.0
50.0,-28.56,-747652.0,435.0
50.0,-28.56,-749743.0,435.0
50.0,-28.56,-750404.0,435.0
50.0,-28.56,-750877.0,435.0
50.0,-28.56,-751450.0,434.0
50.0,-28.56,-751673.0,435.0
50.0,-28.56,-749634.0,435.0
40.0,-43.63,-1316893.0,386.0
40.0,-43.63,-1314328.0,386.0
40.0,-43.63,-1309279.0,385.0
40.0,-43.63,-1312768.0,386.0
40.0,-43.63,-1314623.0,386.0
40.0,-43.63,-1314672.0,386.0
40.0,-43.63,-1307433.0,386.0
40.0,-43.63,-1303478.0,386.0
40.0,-43.63,-1306531.0,386.0
40.0,-43.63,-1306878.0,386.0
40.0,-43.63,-1302987.0,386.0
40.0,-43.63,-1296890.0,386.0
40.0,-43.63,-1295293.0,386.0
40.0,-43.63,-1297788.0,386.0
40.0,-43.63,-1294139.0,386.0
40.0,-43.56,-1294794.0,386.0
40.0,-43.5,-1291049.0,386.0
40.0,-43.44,-1286262.0,386.0
40.0,-43.38,-1291029.0,386.0
40.0,-43.38,-1291530.0,385.0
40.0,-43.31,-1295509.0,386.0
40.0,-43.31,-1294776.0,386.0
