Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
70.0,-2.25,21.0,522.0
70.0,-2.25,21.0,522.0
70.0,28.62,21.0,586.0
70.0,13.75,21.0,534.0
70.0,0.0,22.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
70.0,-1.75,21.0,522.0
60.0,-1.75,22.0,502.0
60.0,-10.5,24.0,480.0
60.0,-14.69,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,479.0
60.0,-14.75,24.0,478.0
60.0,-14.75,24.0,478.0
50.0,-14.75,25.0,454.0
50.0,-24.44,27.0,435.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,433.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,433.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,433.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,433.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
50.0,-27.75,27.0,434.0
40.0,-27.75,29.0,409.0
40.0,-37.63,30.0,387.0
40.0,-41.13,30.0,387.0
40.0,-41.19,30.0,387.0
40.0,-41.31,30.0,387.0
40.0,-41.44,30.0,387.0
40.0,-41.56,30.0,387.0
40.0,-41.63,30.0,387.0
40.0,-41.69,30.0,386.0
40.0,-41.75,30.0,386.0
