Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
70.0,-1.12,21.0,522.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,522.0
70.0,-1.12,21.0,522.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,-1.12,21.0,521.0
70.0,28.31,21.0,586.0
70.0,14.13,21.0,535.0
70.0,0.0,22.0,522.0
70.0,-1.94,22.0,521.0
70.0,-1.94,22.0,522.0
70.0,-1.94,22.0,522.0
70.0,-1.94,22.0,522.0
70.0,-1.88,22.0,522.0
70.0,-1.88,22.0,522.0
70.0,-1.88,22.0,522.0
70.0,-1.88,22.0,522.0
70.0,-1.88,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,521.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,21.0,522.0
70.0,-1.81,21.0,522.0
70.0,-1.81,22.0,522.0
70.0,-1.81,21.0,522.0
70.0,-1.81,21.0,522.0
70.0,-1.81,21.0,522.0
70.0,-1.81,21.0,522.0
60.0,-1.81,22.0,500.0
60.0,-10.81,24.0,480.0
60.0,-14.94,25.0,478.0
60.0,-15.13,25.0,478.0
60.0,-15.13,25.0,478.0
60.0,-15.13,25.0,478.0
60.0,-15.13,25.0,478.0
60.0,-15.13,25.0,478.0
60.0,-15.13,25.0,478.0
60.0,-15.13,25.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,477.0
60.0,-15.13,24.0,477.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
60.0,-15.13,24.0,478.0
50.0,-15.19,26.0,452.0
50.0,-25.0,28.0,435.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,433.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
50.0,-28.06,28.0,434.0
40.0,-28.06,30.0,409.0
40.0,-38.0,32.0,387.0
40.0,-41.75,32.0,386.0
40.0,-41.75,32.0,386.0
40.0,-41.81,32.0,386.0
40.0,-41.88,32.0,387.0
40.0,-41.94,32.0,387.0
40.0,-42.0,32.0,387.0
40.0,-42.06,32.0,386.0
40.0,-42.06,32.0,386.0
40.0,-42.13,32.0,387.0
40.0,-42.13,32.0,387.0
40.0,-42.19,32.0,387.0
40.0,-42.19,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,386.0
40.0,-42.25,32.0,387.0
40.0,-42.25,32.0,386.0
30.0,-42.25,34.0,363.0
30.0,-51.19,36.0,340.0
30.0,-55.5,36.0,338.0
30.0,-55.56,36.0,338.0
30.0,-55.69,36.0,338.0
30.0,-55.81,36.0,338.0
30.0,-55.94,36.0,338.0
30.0,-56.0,36.0,339.0
30.0,-56.13,36.0,338.0
30.0,-56.19,36.0,338.0
30.0,-56.25,36.0,338.0
30.0,-56.25,36.0,338.0
30.0,-56.31,36.0,338.0
30.0,-56.38,36.0,339.0
30.0,-56.44,36.0,338.0
30.0,-56.44,36.0,339.0
30.0,-56.5,36.0,338.0
30.0,-56.5,36.0,339.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,339.0
30.0,-56.56,36.0,339.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
30.0,-56.56,36.0,338.0
20.0,-56.63,38.0,311.0
20.0,-66.19,41.0,292.0
20.0,-69.81,41.0,289.0
20.0,-70.06,41.0,289.0
20.0,-70.12,41.0,289.0
20.0,-70.25,41.0,289.0
20.0,-70.37,41.0,290.0
20.0,-70.44,41.0,289.0
20.0,-70.5,41.0,289.0
20.0,-70.62,41.0,289.0
20.0,-70.69,41.0,289.0
20.0,-70.75,41.0,289.0
20.0,-70.75,41.0,289.0
20.0,-70.81,41.0,289.0
20.0,-70.87,41.0,289.0
20.0,-70.87,41.0,289.0
20.0,-70.94,41.0,289.0
20.0,-70.94,41.0,289.0
20.0,-71.0,41.0,290.0
20.0,-71.0,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,290.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,290.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,289.0
20.0,-71.06,41.0,290.0
20.0,-71.06,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,290.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
20.0,-71.0,41.0,289.0
10.0,-71.06,44.0,267.0
10.0,-79.25,47.0,248.0
10.0,-82.56,47.0,246.0
10.0,-82.94,47.0,246.0
10.0,-82.94,47.0,246.0
10.0,-83.06,47.0,246.0
10.0,-83.12,47.0,246.0
10.0,-83.12,47.0,246.0
10.0,-83.19,47.0,246.0
10.0,-83.25,47.0,246.0
10.0,-83.31,47.0,246.0
10.0,-83.31,47.0,246.0
10.0,-83.37,47.0,245.0
10.0,-83.44,47.0,246.0
10.0,-83.44,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,245.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,245.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,245.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,246.0
10.0,-83.5,47.0,247.0
10.0,-83.5,47.0,246.0
20.0,-83.5,45.0,265.0
20.0,-76.37,42.0,287.0
20.0,-72.0,42.0,289.0
20.0,-71.94,42.0,289.0
