Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
70.0,-3.06,24.0,516.0
100.0,100.0,100.0,100.0
70.0,29.12,22.0,580.0
70.0,12.19,23.0,532.0
70.0,-0.31,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,521.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,521.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
70.0,-1.88,24.0,522.0
60.0,-1.94,25.0,497.0
60.0,-11.31,28.0,480.0
60.0,-14.75,28.0,478.0
60.0,-14.88,28.0,479.0
60.0,-14.94,27.0,483.0
60.0,-13.0,27.0,480.0
60.0,-14.63,28.0,477.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,479.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
60.0,-14.81,28.0,478.0
50.0,-14.94,29.0,454.0
50.0,-25.5,32.0,435.0
50.0,-29.25,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,432.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,432.0
50.0,-29.31,32.0,432.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,433.0
50.0,-29.31,32.0,432.0
40.0,-29.31,34.0,409.0
40.0,-39.94,37.0,386.0
40.0,-43.88,37.0,386.0
40.0,-43.88,37.0,386.0
40.0,-43.81,37.0,386.0
40.0,-43.75,37.0,387.0
40.0,-43.75,37.0,386.0
40.0,-43.69,37.0,386.0
40.0,-43.69,37.0,386.0
40.0,-43.63,37.0,386.0
40.0,-43.63,37.0,386.0
40.0,-43.56,37.0,386.0
40.0,-43.56,37.0,386.0
40.0,-43.56,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,385.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,385.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,385.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,385.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,387.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
40.0,-43.5,37.0,386.0
30.0,-43.56,38.0,364.0
30.0,-53.5,42.0,341.0
30.0,-57.81,43.0,338.0
30.0,-58.25,43.0,338.0
30.0,-58.31,43.0,338.0
30.0,-58.31,43.0,337.0
30.0,-58.25,43.0,338.0
30.0,-58.19,43.0,338.0
30.0,-58.19,43.0,339.0
30.0,-58.13,43.0,337.0
